f500_rank,org,sector,industry,employees,website
424,United Rentals,Business Services,Miscellaneous,14800,www.unitedrentals.com
425,Casey’s General Stores,Retailing,Specialty Retailers: Other,25463,www.caseys.com
426,Graybar Electric,Wholesalers,Wholesalers: Diversified,8500,www.graybar.com
427,Avery Dennison,Materials,"Packaging, Containers",3e4,www.averydennison.com
428,MasTec,Engineering & Construction,"Engineering, Construction",17300,www.mastec.com
429,CMS Energy,Energy,Utilities: Gas and Electric,7887,www.cmsenergy.com
430,HD Supply Holdings,Wholesalers,Wholesalers: Diversified,11e3,www.hdsupply.com
431,Raymond James Financial,Financials,Securities,12700,www.raymondjames.com
432,NCR,Technology,"Computers, Office Equipment",34e3,www.ncr.com
433,Hanesbrands,Apparel,Apparel,67200,www.hanes.com
434,Asbury Automotive Group,Retailing,"Automotive Retailing, Services",8e3,www.asburyauto.com
435,Citizens Financial Group,Financials,Commercial Banks,17594,www.citizensbank.com
436,Packaging Corp. of America,Materials,"Packaging, Containers",14600,www.packagingcorp.com
437,Alleghany,Financials,Insurance: Property and Casualty (Stock),4402,www.alleghany.com
438,Apache,Energy,"Mining, Crude-Oil Production",3356,www.apachecorp.com
439,Dillard’s,Retailing,General Merchandisers,31400,www.dillards.com
440,Assurant,Financials,Insurance: Property and Casualty (Stock),14175,www.assurant.com
441,Franklin Resources,Financials,Securities,9386,www.franklinresources.com
442,Owens Corning,Materials,"Building Materials, Glass",17e3,www.owenscorning.com
443,Motorola Solutions,Technology,Network and Other Communications Equipment,15e3,www.motorolasolutions.com
444,NVR,Engineering & Construction,Homebuilders,5200,www.nvrinc.com
445,Rockwell Automation,Industrials,"Electronics, Electrical Equip.",22e3,www.rockwellautomation.com
446,TreeHouse Foods,"Food, Beverages & Tobacco",Food Consumer Products,13489,www.treehousefoods.com
